config ok
listening on 9999
port open. Data rate: 9600
2023-09-21T07:11:37.014Z <Buffer 00>
2023-09-21T07:11:37.801Z <Buffer f2>
2023-09-21T07:11:37.855Z <Buffer ff>
2023-09-21T07:11:37.978Z <Buffer 80>
2023-09-21T07:11:37.982Z <Buffer 29>
2023-09-21T07:11:38.313Z <Buffer 70>
2023-09-21T07:11:39.172Z <Buffer ff>
2023-09-21T07:11:39.683Z <Buffer fe>
2023-09-21T07:11:39.839Z <Buffer e6>
2023-09-21T07:11:39.853Z <Buffer fc>
2023-09-21T07:11:39.942Z <Buffer ff>
2023-09-21T07:11:39.945Z <Buffer fe>
2023-09-21T07:11:39.980Z <Buffer fe>
2023-09-21T07:11:40.027Z <Buffer ff>
2023-09-21T07:11:40.058Z <Buffer fc>
2023-09-21T07:11:40.178Z <Buffer f0>
2023-09-21T07:11:40.185Z <Buffer ff>
2023-09-21T07:11:40.254Z <Buffer fe>
2023-09-21T07:11:45.817Z <Buffer ff>
2023-09-21T07:11:47.634Z <Buffer ff>
2023-09-21T07:11:48.873Z <Buffer 1b>
2023-09-21T07:11:48.874Z <Buffer 5b>
2023-09-21T07:11:48.875Z <Buffer 48>
2023-09-21T07:11:48.877Z <Buffer 1b 5b>
2023-09-21T07:11:48.878Z <Buffer 4a>
2023-09-21T07:11:48.879Z <Buffer 1b>
2023-09-21T07:11:48.880Z <Buffer 5b>
2023-09-21T07:11:48.881Z <Buffer 31>
2023-09-21T07:11:48.885Z <Buffer 3b 31 48>
2023-09-21T07:11:48.887Z <Buffer 65>
2023-09-21T07:11:48.888Z <Buffer 72>
2023-09-21T07:11:48.889Z <Buffer 72>
2023-09-21T07:11:48.890Z <Buffer 6f>
2023-09-21T07:11:48.891Z <Buffer 72>
2023-09-21T07:11:48.892Z <Buffer 3a>
2023-09-21T07:11:48.893Z <Buffer 20>
2023-09-21T07:11:48.894Z <Buffer 66>
2023-09-21T07:11:48.895Z <Buffer 69>
2023-09-21T07:11:48.896Z <Buffer 6c>
2023-09-21T07:11:48.897Z <Buffer 65>
2023-09-21T07:11:48.898Z <Buffer 20>
2023-09-21T07:11:48.901Z <Buffer 60 2f 67>
2023-09-21T07:11:48.902Z <Buffer 72>
2023-09-21T07:11:48.903Z <Buffer 75>
2023-09-21T07:11:48.904Z <Buffer 62>
2023-09-21T07:11:48.905Z <Buffer 2f>
2023-09-21T07:11:48.906Z <Buffer 78>
2023-09-21T07:11:48.907Z <Buffer 38>
2023-09-21T07:11:48.908Z <Buffer 36>
2023-09-21T07:11:48.909Z <Buffer 5f>
2023-09-21T07:11:48.911Z <Buffer 36>
2023-09-21T07:11:48.912Z <Buffer 34>
2023-09-21T07:11:48.912Z <Buffer 2d>
2023-09-21T07:11:48.914Z <Buffer 65>
2023-09-21T07:11:48.915Z <Buffer 66>
2023-09-21T07:11:48.916Z <Buffer 69>
2023-09-21T07:11:48.917Z <Buffer 2f>
2023-09-21T07:11:48.918Z <Buffer 62>
2023-09-21T07:11:48.919Z <Buffer 6c>
2023-09-21T07:11:48.920Z <Buffer 69>
2023-09-21T07:11:48.921Z <Buffer 2e>
2023-09-21T07:11:48.923Z <Buffer 6d>
2023-09-21T07:11:48.923Z <Buffer 6f>
2023-09-21T07:11:48.924Z <Buffer 64>
2023-09-21T07:11:48.925Z <Buffer 27>
2023-09-21T07:11:48.926Z <Buffer 20>
2023-09-21T07:11:48.927Z <Buffer 6e>
2023-09-21T07:11:48.928Z <Buffer 6f>
2023-09-21T07:11:48.929Z <Buffer 74>
2023-09-21T07:11:48.930Z <Buffer 20>
2023-09-21T07:11:48.931Z <Buffer 66>
2023-09-21T07:11:48.932Z <Buffer 6f>
2023-09-21T07:11:48.933Z <Buffer 75>
2023-09-21T07:11:48.934Z <Buffer 6e>
2023-09-21T07:11:48.935Z <Buffer 64>
2023-09-21T07:11:48.936Z <Buffer 2e>
2023-09-21T07:11:48.937Z <Buffer 0a>
2023-09-21T07:11:48.939Z <Buffer 0d>
2023-09-21T07:11:48.940Z <Buffer 1b>
2023-09-21T07:11:48.941Z <Buffer 5b>
2023-09-21T07:11:48.942Z <Buffer 3f>
2023-09-21T07:11:48.944Z <Buffer 32>
2023-09-21T07:11:48.945Z <Buffer 35>
2023-09-21T07:11:48.945Z <Buffer 6c>
2023-09-21T07:11:48.947Z <Buffer 1b>
2023-09-21T07:11:48.948Z <Buffer 5b>
2023-09-21T07:11:48.949Z <Buffer 6d>
2023-09-21T07:11:48.950Z <Buffer 1b>
2023-09-21T07:11:48.951Z <Buffer 5b>
2023-09-21T07:11:48.952Z <Buffer 48>
2023-09-21T07:11:48.953Z <Buffer 1b>
2023-09-21T07:11:48.954Z <Buffer 5b>
2023-09-21T07:11:48.955Z <Buffer 4a>
2023-09-21T07:11:48.956Z <Buffer 1b>
2023-09-21T07:11:48.957Z <Buffer 5b>
2023-09-21T07:11:48.958Z <Buffer 31>
2023-09-21T07:11:48.959Z <Buffer 3b>
2023-09-21T07:11:48.960Z <Buffer 31>
2023-09-21T07:11:48.961Z <Buffer 48>
2023-09-21T07:11:48.962Z <Buffer 1b>
2023-09-21T07:11:48.963Z <Buffer 5b>
2023-09-21T07:11:48.964Z <Buffer 32>
2023-09-21T07:11:48.965Z <Buffer 3b>
2023-09-21T07:11:48.966Z <Buffer 32>
2023-09-21T07:11:48.970Z <Buffer 30 48 47>
2023-09-21T07:11:48.973Z <Buffer 4e>
2023-09-21T07:11:48.974Z <Buffer 55 20 47>
2023-09-21T07:11:48.975Z <Buffer 52>
2023-09-21T07:11:48.976Z <Buffer 55>
2023-09-21T07:11:48.977Z <Buffer 42>
2023-09-21T07:11:48.978Z <Buffer 20>
2023-09-21T07:11:48.979Z <Buffer 20>
2023-09-21T07:11:48.980Z <Buffer 76>
2023-09-21T07:11:48.981Z <Buffer 65>
2023-09-21T07:11:48.982Z <Buffer 72>
2023-09-21T07:11:48.983Z <Buffer 73>
2023-09-21T07:11:48.984Z <Buffer 69>
2023-09-21T07:11:48.985Z <Buffer 6f>
2023-09-21T07:11:48.986Z <Buffer 6e>
2023-09-21T07:11:48.987Z <Buffer 20>
2023-09-21T07:11:48.988Z <Buffer 32>
2023-09-21T07:11:48.989Z <Buffer 3a>
2023-09-21T07:11:48.990Z <Buffer 32>
2023-09-21T07:11:48.991Z <Buffer 2e>
2023-09-21T07:11:48.992Z <Buffer 30>
2023-09-21T07:11:48.993Z <Buffer 36>
2023-09-21T07:11:48.994Z <Buffer 2e>
2023-09-21T07:11:48.995Z <Buffer 72>
2023-09-21T07:11:48.996Z <Buffer 34>
2023-09-21T07:11:48.997Z <Buffer 30>
2023-09-21T07:11:48.999Z <Buffer 33>
2023-09-21T07:11:49.000Z <Buffer 2e>
2023-09-21T07:11:49.000Z <Buffer 67>
2023-09-21T07:11:49.002Z <Buffer 37>
2023-09-21T07:11:49.003Z <Buffer 32>
2023-09-21T07:11:49.004Z <Buffer 35>
2023-09-21T07:11:49.005Z <Buffer 39>
2023-09-21T07:11:49.006Z <Buffer 64>
2023-09-21T07:11:49.007Z <Buffer 35>
2023-09-21T07:11:49.008Z <Buffer 35>
2023-09-21T07:11:49.009Z <Buffer 66>
2023-09-21T07:11:49.010Z <Buffer 66>
2023-09-21T07:11:49.011Z <Buffer 2d>
2023-09-21T07:11:49.012Z <Buffer 31>
2023-09-21T07:11:49.013Z <Buffer 0a>
2023-09-21T07:11:49.014Z <Buffer 0d>
2023-09-21T07:11:49.015Z <Buffer 0a>
2023-09-21T07:11:49.016Z <Buffer 0d>
2023-09-21T07:11:49.017Z <Buffer 1b>
2023-09-21T07:11:49.018Z <Buffer 5b>
2023-09-21T07:11:49.019Z <Buffer 6d>
2023-09-21T07:11:49.020Z <Buffer 1b>
2023-09-21T07:11:49.021Z <Buffer 5b>
2023-09-21T07:11:49.022Z <Buffer 34>
2023-09-21T07:11:49.023Z <Buffer 3b>
2023-09-21T07:11:49.024Z <Buffer 32>
2023-09-21T07:11:49.025Z <Buffer 48>
2023-09-21T07:11:49.026Z <Buffer 2b>
2023-09-21T07:11:49.028Z <Buffer 2d>
2023-09-21T07:11:49.029Z <Buffer 2d>
2023-09-21T07:11:49.030Z <Buffer 2d>
2023-09-21T07:11:49.031Z <Buffer 2d>
2023-09-21T07:11:49.032Z <Buffer 2d>
2023-09-21T07:11:49.033Z <Buffer 2d>
2023-09-21T07:11:49.034Z <Buffer 2d>
2023-09-21T07:11:49.035Z <Buffer 2d>
2023-09-21T07:11:49.036Z <Buffer 2d>
2023-09-21T07:11:49.037Z <Buffer 2d>
2023-09-21T07:11:49.038Z <Buffer 2d>
2023-09-21T07:11:49.039Z <Buffer 2d>
2023-09-21T07:11:49.040Z <Buffer 2d>
2023-09-21T07:11:49.041Z <Buffer 2d>
2023-09-21T07:11:49.042Z <Buffer 2d>
2023-09-21T07:11:49.043Z <Buffer 2d>
2023-09-21T07:11:49.044Z <Buffer 2d>
2023-09-21T07:11:49.045Z <Buffer 2d>
2023-09-21T07:11:49.046Z <Buffer 2d>
2023-09-21T07:11:49.047Z <Buffer 2d>
2023-09-21T07:11:49.048Z <Buffer 2d>
2023-09-21T07:11:49.049Z <Buffer 2d>
2023-09-21T07:11:49.050Z <Buffer 2d>
2023-09-21T07:11:49.051Z <Buffer 2d>
2023-09-21T07:11:49.053Z <Buffer 2d>
2023-09-21T07:11:49.054Z <Buffer 2d>
2023-09-21T07:11:49.055Z <Buffer 2d>
2023-09-21T07:11:49.056Z <Buffer 2d>
2023-09-21T07:11:49.057Z <Buffer 2d>
2023-09-21T07:11:49.058Z <Buffer 2d>
2023-09-21T07:11:49.059Z <Buffer 2d>
2023-09-21T07:11:49.060Z <Buffer 2d>
2023-09-21T07:11:49.061Z <Buffer 2d>
2023-09-21T07:11:49.062Z <Buffer 2d>
2023-09-21T07:11:49.063Z <Buffer 2d>
2023-09-21T07:11:49.064Z <Buffer 2d>
2023-09-21T07:11:49.065Z <Buffer 2d>
2023-09-21T07:11:49.066Z <Buffer 2d>
2023-09-21T07:11:49.067Z <Buffer 2d>
2023-09-21T07:11:49.068Z <Buffer 2d>
2023-09-21T07:11:49.069Z <Buffer 2d>
2023-09-21T07:11:49.070Z <Buffer 2d>
2023-09-21T07:11:49.071Z <Buffer 2d>
2023-09-21T07:11:49.072Z <Buffer 2d>
2023-09-21T07:11:49.073Z <Buffer 2d>
2023-09-21T07:11:49.074Z <Buffer 2d>
2023-09-21T07:11:49.075Z <Buffer 2d>
2023-09-21T07:11:49.076Z <Buffer 2d>
2023-09-21T07:11:49.077Z <Buffer 2d>
2023-09-21T07:11:49.078Z <Buffer 2d>
2023-09-21T07:11:49.080Z <Buffer 2d>
2023-09-21T07:11:49.081Z <Buffer 2d>
2023-09-21T07:11:49.082Z <Buffer 2d>
2023-09-21T07:11:49.083Z <Buffer 2d>
2023-09-21T07:11:49.084Z <Buffer 2d>
2023-09-21T07:11:49.085Z <Buffer 2d>
2023-09-21T07:11:49.086Z <Buffer 2d>
2023-09-21T07:11:49.087Z <Buffer 2d>
2023-09-21T07:11:49.088Z <Buffer 2d>
2023-09-21T07:11:49.089Z <Buffer 2d>
2023-09-21T07:11:49.090Z <Buffer 2d>
2023-09-21T07:11:49.091Z <Buffer 2d>
2023-09-21T07:11:49.092Z <Buffer 2d>
2023-09-21T07:11:49.093Z <Buffer 2d>
2023-09-21T07:11:49.094Z <Buffer 2d>
2023-09-21T07:11:49.095Z <Buffer 2d>
2023-09-21T07:11:49.096Z <Buffer 2d>
2023-09-21T07:11:49.097Z <Buffer 2d>
2023-09-21T07:11:49.098Z <Buffer 2d>
2023-09-21T07:11:49.099Z <Buffer 2d>
2023-09-21T07:11:49.100Z <Buffer 2d>
2023-09-21T07:11:49.101Z <Buffer 2d>
2023-09-21T07:11:49.102Z <Buffer 2d>
2023-09-21T07:11:49.103Z <Buffer 2d>
2023-09-21T07:11:49.104Z <Buffer 2d>
2023-09-21T07:11:49.105Z <Buffer 2d>
2023-09-21T07:11:49.106Z <Buffer 2b>
2023-09-21T07:11:49.108Z <Buffer 1b>
2023-09-21T07:11:49.109Z <Buffer 5b>
2023-09-21T07:11:49.110Z <Buffer 35>
2023-09-21T07:11:49.111Z <Buffer 3b>
2023-09-21T07:11:49.112Z <Buffer 32>
2023-09-21T07:11:49.113Z <Buffer 48>
2023-09-21T07:11:49.114Z <Buffer 7c>
2023-09-21T07:11:49.115Z <Buffer 1b>
2023-09-21T07:11:49.116Z <Buffer 5b>
2023-09-21T07:11:49.117Z <Buffer 35>
2023-09-21T07:11:49.118Z <Buffer 3b>
2023-09-21T07:11:49.119Z <Buffer 37>
2023-09-21T07:11:49.120Z <Buffer 39>
2023-09-21T07:11:49.121Z <Buffer 48>
2023-09-21T07:11:49.122Z <Buffer 7c>
2023-09-21T07:11:49.123Z <Buffer 1b>
2023-09-21T07:11:49.124Z <Buffer 5b>
2023-09-21T07:11:49.125Z <Buffer 36>
2023-09-21T07:11:49.126Z <Buffer 3b>
2023-09-21T07:11:49.128Z <Buffer 32>
2023-09-21T07:11:49.129Z <Buffer 48>
2023-09-21T07:11:49.130Z <Buffer 7c>
2023-09-21T07:11:49.130Z <Buffer 1b>
2023-09-21T07:11:49.131Z <Buffer 5b>
2023-09-21T07:11:49.132Z <Buffer 36>
2023-09-21T07:11:49.134Z <Buffer 3b>
2023-09-21T07:11:49.135Z <Buffer 37>
2023-09-21T07:11:49.136Z <Buffer 39>
2023-09-21T07:11:49.137Z <Buffer 48>
2023-09-21T07:11:49.138Z <Buffer 7c>
2023-09-21T07:11:49.139Z <Buffer 1b>
2023-09-21T07:11:49.140Z <Buffer 5b>
2023-09-21T07:11:49.141Z <Buffer 37>
