config ok
listening on 9999
port open. Data rate: 9600
2023-09-21T07:12:47.264Z <Buffer 80>
2023-09-21T07:12:47.442Z <Buffer 81>
2023-09-21T07:12:47.447Z <Buffer 34>
2023-09-21T07:12:47.777Z <Buffer f0>
2023-09-21T07:12:49.185Z <Buffer fe>
2023-09-21T07:12:49.342Z <Buffer e6>
2023-09-21T07:12:49.357Z <Buffer fc>
2023-09-21T07:12:49.365Z <Buffer f7>
2023-09-21T07:12:49.446Z <Buffer ff>
2023-09-21T07:12:49.530Z <Buffer ff>
2023-09-21T07:12:49.561Z <Buffer fc>
2023-09-21T07:12:49.682Z <Buffer f8>
2023-09-21T07:12:49.755Z <Buffer ff>
2023-09-21T07:12:49.757Z <Buffer bf>
2023-09-21T07:12:55.397Z <Buffer ff>
2023-09-21T07:12:55.596Z <Buffer ff>
2023-09-21T07:12:56.822Z <Buffer 1b>
2023-09-21T07:12:56.825Z <Buffer 5b 48 1b>
2023-09-21T07:12:56.826Z <Buffer 5b>
2023-09-21T07:12:56.827Z <Buffer 4a>
2023-09-21T07:12:56.828Z <Buffer 1b>
2023-09-21T07:12:56.829Z <Buffer 5b>
2023-09-21T07:12:56.832Z <Buffer 31 3b>
2023-09-21T07:12:56.833Z <Buffer 31>
2023-09-21T07:12:56.834Z <Buffer 48>
2023-09-21T07:12:56.836Z <Buffer 65>
2023-09-21T07:12:56.837Z <Buffer 72>
2023-09-21T07:12:56.838Z <Buffer 72>
2023-09-21T07:12:56.841Z <Buffer 6f 72 3a>
2023-09-21T07:12:56.842Z <Buffer 20>
2023-09-21T07:12:56.843Z <Buffer 66>
2023-09-21T07:12:56.844Z <Buffer 69>
2023-09-21T07:12:56.845Z <Buffer 6c>
2023-09-21T07:12:56.846Z <Buffer 65>
2023-09-21T07:12:56.849Z <Buffer 20 60>
2023-09-21T07:12:56.850Z <Buffer 2f>
2023-09-21T07:12:56.851Z <Buffer 67>
2023-09-21T07:12:56.851Z <Buffer 72>
2023-09-21T07:12:56.852Z <Buffer 75>
2023-09-21T07:12:56.854Z <Buffer 62>
2023-09-21T07:12:56.855Z <Buffer 2f>
2023-09-21T07:12:56.857Z <Buffer 78 38>
2023-09-21T07:12:56.858Z <Buffer 36>
2023-09-21T07:12:56.859Z <Buffer 5f>
2023-09-21T07:12:56.860Z <Buffer 36>
2023-09-21T07:12:56.861Z <Buffer 34>
2023-09-21T07:12:56.862Z <Buffer 2d>
2023-09-21T07:12:56.863Z <Buffer 65>
2023-09-21T07:12:56.864Z <Buffer 66>
2023-09-21T07:12:56.865Z <Buffer 69>
2023-09-21T07:12:56.866Z <Buffer 2f>
2023-09-21T07:12:56.867Z <Buffer 62>
2023-09-21T07:12:56.868Z <Buffer 6c>
2023-09-21T07:12:56.869Z <Buffer 69>
2023-09-21T07:12:56.870Z <Buffer 2e>
2023-09-21T07:12:56.871Z <Buffer 6d>
2023-09-21T07:12:56.872Z <Buffer 6f>
2023-09-21T07:12:56.873Z <Buffer 64>
2023-09-21T07:12:56.874Z <Buffer 27>
2023-09-21T07:12:56.875Z <Buffer 20>
2023-09-21T07:12:56.877Z <Buffer 6e>
2023-09-21T07:12:56.878Z <Buffer 6f>
2023-09-21T07:12:56.880Z <Buffer 74 20>
2023-09-21T07:12:56.880Z <Buffer 66>
2023-09-21T07:12:56.882Z <Buffer 6f>
2023-09-21T07:12:56.883Z <Buffer 75>
2023-09-21T07:12:56.884Z <Buffer 6e>
2023-09-21T07:12:56.885Z <Buffer 64>
2023-09-21T07:12:56.886Z <Buffer 2e>
2023-09-21T07:12:56.887Z <Buffer 0a>
2023-09-21T07:12:56.888Z <Buffer 0d>
2023-09-21T07:12:56.890Z <Buffer 1b>
2023-09-21T07:12:56.891Z <Buffer 5b>
2023-09-21T07:12:56.892Z <Buffer 3f>
2023-09-21T07:12:56.893Z <Buffer 32>
2023-09-21T07:12:56.894Z <Buffer 35>
2023-09-21T07:12:56.895Z <Buffer 6c>
2023-09-21T07:12:56.896Z <Buffer 1b>
2023-09-21T07:12:56.897Z <Buffer 5b>
2023-09-21T07:12:56.898Z <Buffer 6d>
2023-09-21T07:12:56.899Z <Buffer 1b>
2023-09-21T07:12:56.902Z <Buffer 5b>
2023-09-21T07:12:56.904Z <Buffer 48 1b 5b>
2023-09-21T07:12:56.905Z <Buffer 4a 1b>
2023-09-21T07:12:56.906Z <Buffer 5b>
2023-09-21T07:12:56.907Z <Buffer 31>
2023-09-21T07:12:56.908Z <Buffer 3b>
2023-09-21T07:12:56.909Z <Buffer 31>
2023-09-21T07:12:56.910Z <Buffer 48>
2023-09-21T07:12:56.911Z <Buffer 1b>
2023-09-21T07:12:56.912Z <Buffer 5b>
2023-09-21T07:12:56.913Z <Buffer 32>
2023-09-21T07:12:56.914Z <Buffer 3b>
2023-09-21T07:12:56.916Z <Buffer 32>
2023-09-21T07:12:56.916Z <Buffer 30>
2023-09-21T07:12:56.918Z <Buffer 48>
2023-09-21T07:12:56.919Z <Buffer 47>
2023-09-21T07:12:56.920Z <Buffer 4e>
2023-09-21T07:12:56.921Z <Buffer 55>
2023-09-21T07:12:56.922Z <Buffer 20>
2023-09-21T07:12:56.923Z <Buffer 47>
2023-09-21T07:12:56.924Z <Buffer 52>
2023-09-21T07:12:56.925Z <Buffer 55>
2023-09-21T07:12:56.926Z <Buffer 42>
2023-09-21T07:12:56.928Z <Buffer 20 20>
2023-09-21T07:12:56.929Z <Buffer 76>
2023-09-21T07:12:56.930Z <Buffer 65>
2023-09-21T07:12:56.931Z <Buffer 72>
2023-09-21T07:12:56.932Z <Buffer 73>
2023-09-21T07:12:56.933Z <Buffer 69>
2023-09-21T07:12:56.934Z <Buffer 6f>
2023-09-21T07:12:56.935Z <Buffer 6e>
2023-09-21T07:12:56.936Z <Buffer 20>
2023-09-21T07:12:56.937Z <Buffer 32>
2023-09-21T07:12:56.938Z <Buffer 3a>
2023-09-21T07:12:56.939Z <Buffer 32>
2023-09-21T07:12:56.940Z <Buffer 2e>
2023-09-21T07:12:56.941Z <Buffer 30>
2023-09-21T07:12:56.942Z <Buffer 36>
2023-09-21T07:12:56.944Z <Buffer 2e>
2023-09-21T07:12:56.945Z <Buffer 72>
2023-09-21T07:12:56.946Z <Buffer 34>
2023-09-21T07:12:56.947Z <Buffer 30>
2023-09-21T07:12:56.948Z <Buffer 33>
2023-09-21T07:12:56.949Z <Buffer 2e>
2023-09-21T07:12:56.950Z <Buffer 67>
2023-09-21T07:12:56.951Z <Buffer 37>
2023-09-21T07:12:56.952Z <Buffer 32>
2023-09-21T07:12:56.953Z <Buffer 35>
2023-09-21T07:12:56.954Z <Buffer 39>
2023-09-21T07:12:56.955Z <Buffer 64>
2023-09-21T07:12:56.956Z <Buffer 35>
2023-09-21T07:12:56.957Z <Buffer 35>
2023-09-21T07:12:56.958Z <Buffer 66>
2023-09-21T07:12:56.959Z <Buffer 66>
2023-09-21T07:12:56.960Z <Buffer 2d>
2023-09-21T07:12:56.961Z <Buffer 31>
2023-09-21T07:12:56.962Z <Buffer 0a>
2023-09-21T07:12:56.963Z <Buffer 0d>
2023-09-21T07:12:56.964Z <Buffer 0a>
2023-09-21T07:12:56.965Z <Buffer 0d>
2023-09-21T07:12:56.966Z <Buffer 1b>
2023-09-21T07:12:56.967Z <Buffer 5b>
2023-09-21T07:12:56.968Z <Buffer 6d>
2023-09-21T07:12:56.970Z <Buffer 1b>
2023-09-21T07:12:56.971Z <Buffer 5b>
2023-09-21T07:12:56.972Z <Buffer 34>
2023-09-21T07:12:56.973Z <Buffer 3b>
2023-09-21T07:12:56.974Z <Buffer 32>
2023-09-21T07:12:56.975Z <Buffer 48>
2023-09-21T07:12:56.976Z <Buffer 2b>
2023-09-21T07:12:56.977Z <Buffer 2d>
2023-09-21T07:12:56.978Z <Buffer 2d>
2023-09-21T07:12:56.979Z <Buffer 2d>
2023-09-21T07:12:56.981Z <Buffer 2d>
2023-09-21T07:12:56.981Z <Buffer 2d>
2023-09-21T07:12:56.982Z <Buffer 2d>
2023-09-21T07:12:56.983Z <Buffer 2d>
2023-09-21T07:12:56.984Z <Buffer 2d>
2023-09-21T07:12:56.985Z <Buffer 2d>
2023-09-21T07:12:56.986Z <Buffer 2d>
2023-09-21T07:12:56.987Z <Buffer 2d>
2023-09-21T07:12:56.988Z <Buffer 2d>
2023-09-21T07:12:56.989Z <Buffer 2d>
2023-09-21T07:12:56.990Z <Buffer 2d>
2023-09-21T07:12:56.991Z <Buffer 2d>
2023-09-21T07:12:56.992Z <Buffer 2d>
2023-09-21T07:12:56.993Z <Buffer 2d>
2023-09-21T07:12:56.994Z <Buffer 2d>
2023-09-21T07:12:56.996Z <Buffer 2d>
2023-09-21T07:12:56.997Z <Buffer 2d>
2023-09-21T07:12:56.998Z <Buffer 2d>
2023-09-21T07:12:56.999Z <Buffer 2d>
2023-09-21T07:12:57.000Z <Buffer 2d>
2023-09-21T07:12:57.001Z <Buffer 2d>
2023-09-21T07:12:57.002Z <Buffer 2d>
2023-09-21T07:12:57.003Z <Buffer 2d>
2023-09-21T07:12:57.004Z <Buffer 2d>
2023-09-21T07:12:57.005Z <Buffer 2d>
2023-09-21T07:12:57.006Z <Buffer 2d>
2023-09-21T07:12:57.007Z <Buffer 2d>
2023-09-21T07:12:57.008Z <Buffer 2d>
2023-09-21T07:12:57.009Z <Buffer 2d>
2023-09-21T07:12:57.010Z <Buffer 2d>
2023-09-21T07:12:57.011Z <Buffer 2d>
2023-09-21T07:12:57.012Z <Buffer 2d>
2023-09-21T07:12:57.013Z <Buffer 2d>
2023-09-21T07:12:57.014Z <Buffer 2d>
2023-09-21T07:12:57.015Z <Buffer 2d>
2023-09-21T07:12:57.016Z <Buffer 2d>
2023-09-21T07:12:57.017Z <Buffer 2d>
2023-09-21T07:12:57.018Z <Buffer 2d>
2023-09-21T07:12:57.019Z <Buffer 2d>
2023-09-21T07:12:57.020Z <Buffer 2d>
2023-09-21T07:12:57.021Z <Buffer 2d>
2023-09-21T07:12:57.023Z <Buffer 2d>
2023-09-21T07:12:57.024Z <Buffer 2d>
2023-09-21T07:12:57.025Z <Buffer 2d>
2023-09-21T07:12:57.026Z <Buffer 2d>
2023-09-21T07:12:57.027Z <Buffer 2d>
2023-09-21T07:12:57.028Z <Buffer 2d>
2023-09-21T07:12:57.029Z <Buffer 2d>
2023-09-21T07:12:57.030Z <Buffer 2d>
2023-09-21T07:12:57.031Z <Buffer 2d>
2023-09-21T07:12:57.032Z <Buffer 2d>
2023-09-21T07:12:57.033Z <Buffer 2d>
2023-09-21T07:12:57.034Z <Buffer 2d>
2023-09-21T07:12:57.035Z <Buffer 2d>
2023-09-21T07:12:57.036Z <Buffer 2d>
2023-09-21T07:12:57.037Z <Buffer 2d>
2023-09-21T07:12:57.038Z <Buffer 2d>
2023-09-21T07:12:57.039Z <Buffer 2d>
2023-09-21T07:12:57.040Z <Buffer 2d>
2023-09-21T07:12:57.041Z <Buffer 2d>
2023-09-21T07:12:57.042Z <Buffer 2d>
2023-09-21T07:12:57.044Z <Buffer 2d>
2023-09-21T07:12:57.044Z <Buffer 2d>
2023-09-21T07:12:57.045Z <Buffer 2d>
2023-09-21T07:12:57.046Z <Buffer 2d>
2023-09-21T07:12:57.048Z <Buffer 2d>
2023-09-21T07:12:57.049Z <Buffer 2d>
2023-09-21T07:12:57.050Z <Buffer 2d>
2023-09-21T07:12:57.051Z <Buffer 2d>
2023-09-21T07:12:57.052Z <Buffer 2d>
2023-09-21T07:12:57.053Z <Buffer 2d>
2023-09-21T07:12:57.054Z <Buffer 2d>
2023-09-21T07:12:57.055Z <Buffer 2d>
2023-09-21T07:12:57.056Z <Buffer 2b>
2023-09-21T07:12:57.057Z <Buffer 1b>
2023-09-21T07:12:57.058Z <Buffer 5b>
2023-09-21T07:12:57.059Z <Buffer 35>
2023-09-21T07:12:57.060Z <Buffer 3b>
2023-09-21T07:12:57.061Z <Buffer 32>
2023-09-21T07:12:57.062Z <Buffer 48>
2023-09-21T07:12:57.063Z <Buffer 7c>
2023-09-21T07:12:57.064Z <Buffer 1b>
2023-09-21T07:12:57.065Z <Buffer 5b>
2023-09-21T07:12:57.066Z <Buffer 35>
2023-09-21T07:12:57.067Z <Buffer 3b>
2023-09-21T07:12:57.068Z <Buffer 37>
2023-09-21T07:12:57.069Z <Buffer 39>
2023-09-21T07:12:57.070Z <Buffer 48>
2023-09-21T07:12:57.071Z <Buffer 7c>
2023-09-21T07:12:57.072Z <Buffer 1b>
2023-09-21T07:12:57.073Z <Buffer 5b>
2023-09-21T07:12:57.075Z <Buffer 36>
2023-09-21T07:12:57.076Z <Buffer 3b>
2023-09-21T07:12:57.077Z <Buffer 32>
2023-09-21T07:12:57.078Z <Buffer 48>
2023-09-21T07:12:57.079Z <Buffer 7c>
2023-09-21T07:12:57.080Z <Buffer 1b>
2023-09-21T07:12:57.081Z <Buffer 5b>
2023-09-21T07:12:57.082Z <Buffer 36>
2023-09-21T07:12:57.083Z <Buffer 3b>
2023-09-21T07:12:57.084Z <Buffer 37>
2023-09-21T07:12:57.085Z <Buffer 39>
2023-09-21T07:12:57.086Z <Buffer 48>
2023-09-21T07:12:57.087Z <Buffer 7c>
2023-09-21T07:12:57.088Z <Buffer 1b>
2023-09-21T07:12:57.089Z <Buffer 5b>
2023-09-21T07:12:57.090Z <Buffer 37>
2023-09-21T07:12:57.091Z <Buffer 3b>
2023-09-21T07:12:57.092Z <Buffer 32>
2023-09-21T07:12:57.093Z <Buffer 48>
2023-09-21T07:12:57.094Z <Buffer 7c>
2023-09-21T07:12:57.095Z <Buffer 1b>
2023-09-21T07:12:57.096Z <Buffer 5b>
